,Soil,Month,State,Rice,Wheat,Cotton,Sugarcane,Tea,Ragi,Maize,Millet,Barley,
0,AL,January,APT,1,0,0,0,0,0,0,0,0,R
1,AL,January,ASM,1,0,0,0,0,0,0,0,0,R
2,AL,January,BHR,1,0,0,0,0,0,0,0,0,R
3,AL,January,GJT,1,0,0,0,0,0,0,0,0,R
4,AL,January,HYA,1,0,0,0,0,0,0,0,0,R
5,AL,January,HMP,1,0,0,0,0,0,0,0,0,R
6,AL,January,KTA,1,0,0,0,0,0,0,0,0,R
7,AL,January,KLA,1,0,0,0,0,0,0,0,0,R
8,AL,January,MDP,1,0,0,0,0,0,0,0,0,R
9,AL,January,MRA,1,0,0,0,0,0,0,0,0,R
10,AL,January,ODA ,1,0,0,0,0,0,0,0,0,R
11,AL,January,PJB,1,0,0,0,0,0,0,0,0,R
12,AL,January,TMN,1,0,0,0,0,0,0,0,0,R
13,AL,January,UTP,1,0,0,0,0,0,0,0,0,R
14,AL,January,WTB,1,0,0,0,0,0,0,0,0,R
15,AL,January,CTH,1,0,0,0,0,0,0,0,0,R
16,AL,January,JKD,1,0,0,0,0,0,0,0,0,R
17,AL,January,UKD,1,0,0,0,0,0,0,0,0,R
18,AL,February,APT,0,0,0,1,0,0,0,0,0,S
19,AL,February,KTA,0,0,0,1,0,0,0,0,0,S
20,AL,February,MRA,0,0,0,1,0,0,0,0,0,S
21,AL,February,TMN,0,0,0,1,0,0,0,0,0,S
22,AL,February,UTP,0,0,0,1,0,0,0,0,0,S
23,AL,February,UKD,0,0,0,1,0,0,0,0,0,S
24,AL,March,APT,0,0,0,1,0,0,0,0,0,S
25,AL,March,KTA,0,0,0,1,0,0,0,0,0,S
26,AL,March,MRA,0,0,0,1,0,0,0,0,0,S
27,AL,March,TMN,0,0,0,1,0,0,0,0,0,S
28,AL,March,UTP,0,0,0,1,0,0,0,0,0,S
29,AL,March,UKD,0,0,0,1,0,0,0,0,0,S
30,AL,April,APT,0,0,1,1,0,0,0,0,0,C S 
31,AL,April,GJT,0,0,1,0,0,0,0,0,0,C
32,AL,April,HYA,0,0,1,0,0,0,0,0,0,C
33,AL,April,KTA,0,0,1,1,0,0,0,0,0,C S 
34,AL,April,MDP,0,0,1,0,0,0,0,0,0,C
35,AL,April,MRA,0,0,1,1,0,0,0,0,0,C S 
36,AL,April,ODA ,0,0,1,0,0,0,0,0,0,C
37,AL,April,PJB,0,0,1,0,0,0,0,0,0,C
38,AL,April,RJN,0,0,1,0,0,0,0,0,0,C
39,AL,April,TMN,0,0,1,1,0,0,0,0,0,C S 
40,AL,April,UTP,0,0,0,1,0,0,0,0,0,S
41,AL,April,UKD,0,0,0,1,0,0,0,0,0,S
42,AL,May,APT,1,0,1,1,0,0,0,0,0,R C S
43,AL,May,ASM,1,0,0,0,0,0,0,0,0,R
44,AL,May,BHR,1,0,0,0,0,0,0,0,0,R
45,AL,May,GJT,1,0,1,0,0,0,0,0,0,R C 
46,AL,May,HYA,1,0,1,0,0,0,0,0,0,R C 
47,AL,May,HMP,1,0,0,0,0,0,0,0,0,R
48,AL,May,KTA,1,0,1,1,0,0,0,0,0,R C S
49,AL,May,KLA,1,0,0,0,0,0,0,0,0,R
50,AL,May,MDP,1,0,1,0,0,0,0,0,0,R C
51,AL,May,MRA,1,0,1,1,0,0,0,0,0,R C S
52,AL,May,ODA ,1,0,1,0,0,0,0,0,0,R C
53,AL,May,PJB,1,0,1,0,0,0,0,0,0,R C 
54,AL,May,RJN,0,0,1,0,0,0,0,0,0,C
55,AL,May,TMN,1,0,1,1,0,0,0,0,0,R C S 
56,AL,May,UTP,1,0,0,1,0,0,0,0,0,R S
57,AL,May,WTB,1,0,0,0,0,0,0,0,0,R
58,AL,May,CTH,1,0,0,0,0,0,0,0,0,R
59,AL,May,JKD,1,0,0,0,0,0,0,0,0,R
60,AL,May,UKD,1,0,0,1,0,0,0,0,0,R S
61,AL,June,APT,1,0,1,1,0,0,0,0,0,R C S
62,AL,June,ASM,1,0,0,0,0,0,0,0,0,R
63,AL,June,BHR,1,0,0,0,0,0,0,0,0,R
64,AL,June,GJT,1,0,1,0,0,0,0,0,0,R C
65,AL,June,HYA,1,0,1,0,0,0,0,0,0,R C
66,AL,June,HMP,1,0,0,0,0,0,0,0,0,R
67,AL,June,KTA,1,0,1,1,0,0,0,0,0,R C S
68,AL,June,KLA,1,0,0,0,0,0,0,0,0,R
69,AL,June,MDP,1,0,1,0,0,0,0,0,0,R C
70,AL,June,MRA,1,0,1,1,0,0,0,0,0,R C S
